,PLAYER,COLLEGE,CONF,GAMES_PLAYED,GAMES_STARTED,RECORD,CMP,ATT,YDS,TD,INT,RUSH_ATT,RUSH_YDS,RUSH_TD,COLL_CMP,COLL_ATT,COLL_YDS,COLL_TD,COLL_INT,COLL_RUSH_ATT,COLL_RUSH_YDS,COLL_RUSH_TDS
19,Kevin Hogan,Stanford,Pac-12,8,1,0-1-0,60,101,621,4,7,18,176,1,727,1103,9385,75,29,315,1249,15
20,Nate Sudfeld,Indiana,Big Ten,1,0,0-0-0,19,23,134,0,0,1,22,0,593,983,7879,61,20,135,132,8
21,Jake Rudock,Michigan,Big Ten,3,0,0-0-0,3,5,24,0,1,0,0,0,666,1080,7836,54,27,192,560,12
22,Brandon Allen,Arkansas,SEC,0,0,0-0-0,0,0,0,0,0,0,0,0,583,1016,7463,64,26,134,136,4
23,Jeff Driskel,Louisiana Tech,CUSA,5,1,0-1-0,48,74,475,2,1,9,52,2,607,1000,7437,50,28,312,972,14
24,Brandon Doughty,Western Kentucky,CUSA,0,0,0-0-0,0,0,0,0,0,0,0,0,1023,1491,12855,111,34,102,-285,3
25,Jameis Winston,Florida St.,ACC,52,50,21-29-0,1096,1776,13577,81,55,176,710,9,562,851,7964,65,28,145,284,7
26,Marcus Mariota,Oregon,Pac-12,54,53,25-28-0,993,1572,11806,69,42,215,1252,11,779,1167,10796,105,14,337,2237,29
27,Garrett Grayson,Colorado St.,MWC,1,0,0-0-0,0,0,0,0,0,0,0,0,688,1113,9190,64,27,212,283,4
28,Sean Mannion,Oregon St.,Pac-12,8,1,0-1-0,31,50,235,0,1,13,-2,0,1187,1838,13600,83,54,132,-804,2
29,Bryce Petty,Baylor,Big 12,10,7,1-6-0,130,245,1353,4,10,12,74,0,530,845,8195,62,10,192,338,21
30,Brett Hundley,UCLA,Pac-12,15,9,3-6-0,194,326,1853,9,13,39,268,2,837,1241,9966,75,25,479,1747,30
31,Blake Bortles,Central Florida,American,73,72,24-48-0,1541,2598,17500,103,74,273,1735,8,585,891,7598,56,19,195,561,15
32,Johnny Manziel,Texas A&M,SEC,15,8,2-6-0,147,258,1675,7,7,46,259,1,595,863,7820,63,22,345,2169,30
33,Teddy Bridgewater,Louisville,American,34,28,17-11-0,551,852,6150,28,22,101,391,4,781,1142,9817,72,24,226,170,6
34,Derek Carr,Fresno St.,MWC,74,74,30-44-0,1670,2670,17802,119,52,143,417,1,1087,1630,12843,113,24,164,190,5
35,Logan Thomas,Virginia Tech,ACC,23,4,0-0-0,2,10,96,1,0,0,0,0,693,1248,9003,52,39,495,1359,24
36,Tom Savage,Pittsburgh,ACC,13,9,2-7-0,181,315,2000,5,7,16,8,0,430,757,5690,37,19,167,-319,4
37,Aaron Murray,Georgia,SEC,0,0,0-0-0,0,0,0,0,0,0,0,0,921,1478,13166,121,41,286,396,16
38,A.J. McCarron,Alabama,SEC,13,3,2-1-0,87,136,928,6,2,17,29,0,686,1026,9019,77,15,119,-50,3
39,Zach Mettenberger,LSU,SEC,14,10,0-10-0,208,345,2347,12,14,14,12,1,407,659,5783,35,15,83,-313,0
40,David Fales,San Jose St.,MWC,3,0,0-0-0,31,48,287,1,1,5,8,1,639,938,8382,66,22,90,-132,2
41,Keith Wenning,Ball St.,MAC,0,0,0-0-0,0,0,0,0,0,0,0,0,1035,1642,11402,92,42,190,328,13
42,Tajh Boyd,Clemson,ACC,0,0,0-0-0,0,0,0,0,0,0,0,0,901,1402,11904,107,39,505,1165,26
43,Garrett Gilbert,SMU,American,0,0,0-0-0,0,0,0,0,0,0,0,0,908,1548,9761,49,45,295,1013,20
44,EJ Manuel,Florida St.,ACC,30,18,6-12-0,343,590,3767,20,16,96,339,4,600,897,7741,47,28,298,827,11
45,Geno Smith,West Virginia,Big 12,39,31,12-19-0,523,906,6182,29,36,145,663,7,988,1465,11662,98,21,245,342,4
46,Mike Glennon,North Carolina St.,ACC,25,22,6-16-0,467,770,4933,34,20,41,90,0,646,1069,7411,63,31,111,-280,3
47,Matt Barkley,USC,Pac-12,12,7,2-5-0,174,291,2143,10,18,15,-2,0,1001,1562,12327,116,48,132,-113,6
48,Ryan Nassib,Syracuse,Big East,5,0,0-0-0,9,10,128,1,0,2,-3,0,791,1312,9190,70,28,242,168,5
49,Tyler Wilson,Arkansas,SEC,0,0,0-0-0,0,0,0,0,0,0,0,0,593,948,7765,52,26,110,-44,4
50,Landry Jones,Oklahoma,Big 12,19,5,3-2-0,108,169,1310,8,7,19,-19,0,1388,2183,16646,123,52,132,-375,3
51,Zac Dysert,Miami (OH),MAC,0,0,0-0-0,0,0,0,0,0,0,0,0,1066,1672,12013,73,51,461,665,12
52,B.J. Daniels,South Florida,Big East,8,0,0-0-0,1,2,7,0,0,6,6,0,649,1132,8433,52,39,526,2068,25
53,Sean Renfree,Duke,ACC,2,0,0-0-0,3,7,11,0,1,1,-4,0,898,1389,9465,51,40,153,-167,9
54,Andrew Luck,Stanford,Pac-12,82,82,49-33-0,1902,3140,22438,164,80,311,1524,14,713,1064,9430,82,22,163,957,7
55,Robert Griffin,Baylor,Big 12,44,40,15-25-0,768,1214,9004,42,26,275,1670,10,800,1192,10366,78,17,528,2254,33
56,Ryan Tannehill,Texas A&M,Big 12,84,84,41-43-0,1771,2815,19768,119,72,241,1165,6,484,774,5450,42,21,115,369,5
57,Brandon Weeden,Oklahoma St.,Big 12,35,25,6-19-0,559,965,6462,31,30,62,200,1,767,1103,9260,75,27,39,-150,1
58,Brock Osweiler,Arizona St.,Pac-12,48,30,15-15-0,697,1165,7418,37,31,92,266,4,412,680,5082,33,15,137,221,4
59,Russell Wilson,Wisconsin,Big Ten,108,108,72-35-1,2032,3160,24892,190,61,623,3520,16,907,1489,11720,109,30,441,1421,23
60,Nick Foles,Arizona,Pac-12,51,41,23-18-0,887,1468,10203,62,30,120,357,5,938,1404,10068,67,33,106,-290,4
